City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,puerto natales,-51.7236,-72.4875,6.93,98,100,0.26,CL,1682308820
1,west island,-12.1568,96.8225,28.99,79,40,6.17,CC,1682308820
2,bethel,41.3712,-73.414,9.72,86,13,2.04,US,1682308820
3,grytviken,-54.2811,-36.5092,1.36,81,70,9.24,GS,1682308820
4,enewetak,11.3474,162.3373,26.85,84,99,8.24,MH,1682308820
5,avarua,-21.2078,-159.775,26.03,65,56,3.09,CK,1682308820
6,broome,42.2506,-75.833,4.92,95,99,0.89,US,1682308820
7,san agustin de valle fertil,-30.6335,-67.4682,12.82,86,67,0.82,AR,1682308821
8,gaalkacyo,6.7697,47.4308,26.64,75,64,3.31,SO,1682308821
9,hirna,9.2167,41.1,18.17,76,94,0.8,ET,1682308821
10,keflavik,64.0049,-22.5624,2.24,80,75,1.03,IS,1682308822
11,adamstown,-25.066,-130.1015,24.68,88,97,7.82,PN,1682308822
12,aasiaat,68.7098,-52.8699,-1.25,99,100,1.7,GL,1682308822
13,altay,47.8667,88.1167,8.81,42,96,2.14,CN,1682308607
14,ushuaia,-54.8,-68.3,2.34,94,100,2.25,AR,1682308822
15,waitangi,-43.9535,-176.5597,11.01,81,100,1.34,NZ,1682308822
16,thompson,55.7435,-97.8558,-10.98,97,57,1.25,CA,1682308823
17,shingu,33.7333,135.9833,16.37,38,100,3.86,JP,1682308543
18,sinabang,2.4803,96.3801,28.7,77,100,2.11,ID,1682308823
19,longyearbyen,78.2186,15.6401,-11.37,89,82,0.85,SJ,1682308824
20,zhezqazghan,47.7833,67.7667,15.32,51,0,4.0,KZ,1682308824
21,nemuro,43.3236,145.575,3.96,77,98,3.01,JP,1682308800
22,villamontes,-21.25,-63.5,19.5,89,100,0.75,BO,1682308824
23,talnakh,69.4865,88.3972,1.23,83,91,3.82,RU,1682308824
24,cam ranh,11.9214,109.1591,31.98,62,20,4.63,VN,1682308559
25,papatowai,-46.5619,169.4708,12.01,65,56,8.0,NZ,1682308825
26,albany,42.6001,-73.9662,5.76,84,100,6.71,US,1682308825
27,tharad,24.3961,71.6267,32.87,10,15,0.8,IN,1682308825
28,wailua homesteads,22.0669,-159.378,25.24,89,100,4.12,US,1682308825
29,khalkhal,37.6189,48.5258,13.06,52,87,1.24,IR,1682308826
30,yellowknife,62.456,-114.3525,5.29,65,20,2.06,CA,1682308749
31,xianyang,34.3378,108.7026,4.54,94,100,0.31,CN,1682308826
32,petropavlovsk-kamchatsky,53.0452,158.6483,4.33,48,75,5.0,RU,1682308825
33,utrik,11.2278,169.8474,26.97,82,34,9.15,MH,1682308827
34,nar'yan-mar,67.6713,53.087,-6.0,90,22,7.25,RU,1682308827
35,biltine,14.5333,20.9167,29.97,19,96,4.05,TD,1682308827
36,ribeira grande,38.5167,-28.7,17.65,97,100,7.6,PT,1682308828
37,xining,36.6167,101.7667,6.63,69,100,0.45,CN,1682308828
38,yamada,39.4667,141.95,12.01,34,98,5.71,JP,1682308567
39,le port,-20.9373,55.2919,26.61,84,19,3.52,RE,1682308829
40,edinburgh of the seven seas,-37.0676,-12.3116,14.28,67,78,10.63,SH,1682308829
41,mtsamboro,-12.6998,45.0689,26.62,77,85,3.46,YT,1682308829
42,gadzhiyevo,69.2551,33.3362,-5.23,86,26,4.78,RU,1682308829
43,jamestown,42.097,-79.2353,3.73,87,100,3.09,US,1682308830
44,lazaro cardenas,17.9583,-102.2,24.19,79,43,1.24,MX,1682308830
45,grand falls-windsor,48.9332,-55.6649,1.39,94,100,1.79,CA,1682308830
46,salavan,15.7167,106.4167,36.1,37,96,1.53,LA,1682308830
47,bubaque,11.2833,-15.8333,26.32,62,12,4.85,GW,1682308830
48,afaahiti,-17.75,-149.2833,25.93,88,100,5.12,PF,1682308831
49,juegang,32.3174,121.1855,11.57,83,100,6.56,CN,1682308831
50,mar del plata,-38.0023,-57.5575,16.08,93,100,0.0,AR,1682308793
51,olinda,-8.0089,-34.8553,25.52,82,98,4.14,BR,1682308831
